Prices,URL,Name,Image
429,/zapatillas-i-5923/B37919.html,Zapatillas I-5923,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw4b3a6c08/zoom/B37919_00_plp_standard.jpg?sw=230&strip=false
499,/chimpunes-nemeziz-tango-18.1/BD7647.html,Chimpunes Nemeziz Tango 18.1,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw84642dde/zoom/BD7647_00_plp_standard.jpg?sw=230&strip=false
429,/zapatillas-i-5923/B37924.html,Zapatillas I-5923,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0cd83027/zoom/B37924_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-nemeziz-18-3-in/D97989.html,Chimpunes NEMEZIZ 18 3 IN,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf01f5d81/zoom/D97989_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-nemeziz-18.3-tf/D97986.html,Chimpunes NEMEZIZ 18.3 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwb8b08769/zoom/D97986_00_plp_standard.jpg?sw=230&strip=false
899,/chimpunes-nemeziz-18.1-terreno-firme/BB9425.html,Chimpunes Nemeziz 18.1 Terreno Firme,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0b4251a1/zoom/BB9425_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-copa-19.3-tf/BC0558.html,Chimpunes COPA 19.3 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwa69f6683/zoom/BC0558_00_plp_standard.jpg?sw=230&strip=false
899,/chimpunes-x-18.1-terreno-firme/BB9345.html,Chimpunes X 18.1 Terreno Firme,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw52a62cee/zoom/BB9345_00_plp_standard.jpg?sw=230&strip=false
499,/chimpunes-copa-19.1-pasto-artificial/BC0563.html,Chimpunes Copa 19.1 Pasto Artificial,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw91de5b02/zoom/BC0563_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-x-18.3-fg/BB9366.html,Chimpunes X 18.3 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw9dd33c6c/zoom/BB9366_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-nemeziz-messi-18.4-tf/D97261.html,Chimpunes NEMEZIZ MESSI 18.4 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw953db25e/zoom/D97261_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-nemeziz-messi-tango-18.3-bajo-techo/D97269.html,Chimpunes Nemeziz Messi Tango 18.3 Bajo Techo,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw87bbc137/zoom/D97269_00_plp_standard.jpg?sw=230&strip=false
499,/chimpunes-nemeziz-tango-18.1/D98019.html,Chimpunes Nemeziz Tango 18.1,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0acaaa4d/zoom/D98019_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-predator-19.4-tf/D97973.html,Chimpunes PREDATOR 19.4 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwda298f85/zoom/D97973_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-futsal-predator-19.4/D97976.html,Chimpunes Fútsal Predator 19.4,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf3dc01d2/zoom/D97976_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-copa-19-3-in/D98065.html,Chimpunes COPA 19 3 IN,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw1237e5e4/zoom/D98065_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-nemeziz-18.4-fxg/D97992.html,Chimpunes NEMEZIZ 18.4 FxG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw4b6a9d77/zoom/D97992_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-copa-19.4-fg/D98067.html,Chimpunes COPA 19.4 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw68b773d8/zoom/D98067_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-predator-19.3-fg/BB9334.html,Chimpunes PREDATOR 19.3 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw148b7a9f/zoom/BB9334_00_plp_standard.jpg?sw=230&strip=false
899,/chimpunes-predator-19.1-terreno-firme/BC0552.html,Chimpunes Predator 19.1 Terreno Firme,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwac4f2d8f/zoom/BC0552_00_plp_standard.jpg?sw=230&strip=false
899,/chimpunes-copa-19.1-terreno-firme/BB9185.html,Chimpunes Copa 19.1 Terreno Firme,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwdaf2bb99/zoom/BB9185_00_plp_standard.jpg?sw=230&strip=false
499,/zapatillas-predator-19.1/D98057.html,Zapatillas Predator 19.1,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw7c74c59f/zoom/D98057_00_plp_standard.jpg?sw=230&strip=false
429,/chimpunes-predator-19.2/D97940.html,Chimpunes Predator 19.2,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw5b25e37e/zoom/D97940_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-copa-19.3-fg/BB9187.html,Chimpunes COPA 19.3 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwb459a43c/zoom/BB9187_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-copa-19.4-tf/D98070.html,Chimpunes COPA 19.4 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw24c2841a/zoom/D98070_00_plp_standard.jpg?sw=230&strip=false
499,/zapatillas-predator-19.1/F35849.html,Zapatillas Predator 19.1,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw8ed9476f/zoom/F35849_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-x-18.3-tf/BB9398.html,Chimpunes X 18.3 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw11ca44b1/zoom/BB9398_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-x-18.4-fg/BB9375.html,Chimpunes X 18.4 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwab2f787d/zoom/BB9375_00_plp_standard.jpg?sw=230&strip=false
499,/zapatillas-predator-19.1/D98056.html,Zapatillas Predator 19.1,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw785c0274/zoom/D98056_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-predator-19.3-tr/D97969.html,Chimpunes PREDATOR 19.3 TR,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw3e5ae03a/zoom/D97969_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-nemeziz-18.3-fg/BB9437.html,Chimpunes NEMEZIZ 18.3 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwa3f2e2af/zoom/BB9437_00_plp_standard.jpg?sw=230&strip=false
