Prices,URL,Image,Name
479,/zapatillas-eqt-support-mid-adv-primeknit-dragonball-z/DB2933.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw6ab4533e/zoom/DB2933_00_plp_standard.jpg?sw=230&strip=false,Zapatillas EQT Support Mid ADV Primeknit Dragonball Z
479,/zapatillas-eqt-support-mid-adv-primeknit-dragonball-z/D97056.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwe7f79485/zoom/D97056_00_plp_standard.jpg?sw=230&strip=false,Zapatillas EQT Support Mid ADV Primeknit Dragonball Z
449,/zapatillas-prophere/B37182.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwc149b32b/zoom/B37182_00_plp_standard.jpg?sw=230&strip=false,Zapatillas PROPHERE
299,/zapatillas-continental-80/B41677.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw7d999570/zoom/B41677_00_plp_standard.jpg?sw=230&strip=false,Zapatillas Continental 80
299,/zapatillas-continental-80/AQ1054.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw67deb787/zoom/AQ1054_00_plp_standard.jpg?sw=230&strip=false,Zapatillas Continental 80
299,/zapatillas-continental-80/B41671.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw411286db/zoom/B41671_00_plp_standard.jpg?sw=230&strip=false,Zapatillas Continental 80
299,/zapatillas-continental-80/B41670.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwee01f573/zoom/B41670_00_plp_standard.jpg?sw=230&strip=false,Zapatillas Continental 80
379,/zapatillas-pod-s3.1/B37367.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw5feca208/zoom/B37367_00_plp_standard.jpg?sw=230&strip=false,Zapatillas POD-S3.1
329,/tenis-yung-96/F35020.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw88c89697/zoom/F35020_00_plp_standard.jpg?sw=230&strip=false,Tenis Yung-96
329,/tenis-yung-96/F35018.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw9c12748d/zoom/F35018_00_plp_standard.jpg?sw=230&strip=false,Tenis Yung-96
329,/tenis-yung-96/F35017.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw52512e4e/zoom/F35017_00_plp_standard.jpg?sw=230&strip=false,Tenis Yung-96
449,/zapatillas-sobakov/BB7674.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw08441965/zoom/BB7674_00_plp_standard.jpg?sw=230&strip=false,Zapatillas Sobakov
349,/zapatillas-wilsy-spzl/B41821.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwa63ab047/zoom/B41821_00_plp_standard.jpg?sw=230&strip=false,Zapatillas Wilsy SPZL
429,/zapatillas-zx-452-spzl/B41823.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw1251ed2e/zoom/B41823_00_plp_standard.jpg?sw=230&strip=false,Zapatillas ZX 452 SPZL
